"","regiao","serie","dep_adm","n","ano"
"1","Norte","ter","fed",5825,"2018"
"2","Norte","ter","est",201252,"2018"
"3","Norte","ter","mun",51,"2018"
"4","Norte","ter","pri",15719,"2018"
"5","Norte","qua","fed",1248,"2018"
"6","Norte","qua","est",1211,"2018"
"7","Norte","qua","mun",0,"2018"
"8","Norte","qua","pri",79,"2018"
"9","Nordeste","ter","fed",15055,"2018"
"10","Nordeste","ter","est",524968,"2018"
"11","Nordeste","ter","mun",1627,"2018"
"12","Nordeste","ter","pri",67326,"2018"
"13","Nordeste","qua","fed",6486,"2018"
"14","Nordeste","qua","est",11066,"2018"
"15","Nordeste","qua","mun",656,"2018"
"16","Nordeste","qua","pri",630,"2018"
"17","Sudeste","ter","fed",14380,"2018"
"18","Sudeste","ter","est",765166,"2018"
"19","Sudeste","ter","mun",9553,"2018"
"20","Sudeste","ter","pri",144654,"2018"
"21","Sudeste","qua","fed",2572,"2018"
"22","Sudeste","qua","est",14635,"2018"
"23","Sudeste","qua","mun",101,"2018"
"24","Sudeste","qua","pri",1009,"2018"
"25","Sul","ter","fed",7356,"2018"
"26","Sul","ter","est",216984,"2018"
"27","Sul","ter","mun",1098,"2018"
"28","Sul","ter","pri",31137,"2018"
"29","Sul","qua","fed",2885,"2018"
"30","Sul","qua","est",12818,"2018"
"31","Sul","qua","mun",112,"2018"
"32","Sul","qua","pri",320,"2018"
"33","Centro-Oeste","ter","fed",4586,"2018"
"34","Centro-Oeste","ter","est",126890,"2018"
"35","Centro-Oeste","ter","mun",206,"2018"
"36","Centro-Oeste","ter","pri",23412,"2018"
"37","Centro-Oeste","qua","fed",449,"2018"
"38","Centro-Oeste","qua","est",984,"2018"
"39","Centro-Oeste","qua","mun",0,"2018"
"40","Centro-Oeste","qua","pri",0,"2018"
"41","Norte","ter","fed",6440,"2019"
"42","Norte","ter","est",192617,"2019"
"43","Norte","ter","mun",32,"2019"
"44","Norte","ter","pri",15342,"2019"
"45","Norte","qua","fed",1045,"2019"
"46","Norte","qua","est",1320,"2019"
"47","Norte","qua","mun",0,"2019"
"48","Norte","qua","pri",254,"2019"
"49","Nordeste","ter","fed",16243,"2019"
"50","Nordeste","ter","est",513379,"2019"
"51","Nordeste","ter","mun",1253,"2019"
"52","Nordeste","ter","pri",65078,"2019"
"53","Nordeste","qua","fed",7318,"2019"
"54","Nordeste","qua","est",9894,"2019"
"55","Nordeste","qua","mun",378,"2019"
"56","Nordeste","qua","pri",673,"2019"
"57","Sudeste","ter","fed",15590,"2019"
"58","Sudeste","ter","est",728002,"2019"
"59","Sudeste","ter","mun",9230,"2019"
"60","Sudeste","ter","pri",142262,"2019"
"61","Sudeste","qua","fed",2781,"2019"
"62","Sudeste","qua","est",5568,"2019"
"63","Sudeste","qua","mun",344,"2019"
"64","Sudeste","qua","pri",756,"2019"
"65","Sul","ter","fed",8336,"2019"
"66","Sul","ter","est",215445,"2019"
"67","Sul","ter","mun",1177,"2019"
"68","Sul","ter","pri",39051,"2019"
"69","Sul","qua","fed",3448,"2019"
"70","Sul","qua","est",10749,"2019"
"71","Sul","qua","mun",134,"2019"
"72","Sul","qua","pri",210,"2019"
"73","Centro-Oeste","ter","fed",5337,"2019"
"74","Centro-Oeste","ter","est",119234,"2019"
"75","Centro-Oeste","ter","mun",222,"2019"
"76","Centro-Oeste","ter","pri",22996,"2019"
"77","Centro-Oeste","qua","fed",407,"2019"
"78","Centro-Oeste","qua","est",101,"2019"
"79","Centro-Oeste","qua","mun",0,"2019"
"80","Centro-Oeste","qua","pri",16,"2019"
"81","Norte","ter","fed",6740,"2020"
"82","Norte","ter","est",197362,"2020"
"83","Norte","ter","mun",25,"2020"
"84","Norte","ter","pri",14423,"2020"
"85","Norte","qua","fed",368,"2020"
"86","Norte","qua","est",1230,"2020"
"87","Norte","qua","mun",0,"2020"
"88","Norte","qua","pri",151,"2020"
"89","Nordeste","ter","fed",18438,"2020"
"90","Nordeste","ter","est",505137,"2020"
"91","Nordeste","ter","mun",1248,"2020"
"92","Nordeste","ter","pri",61588,"2020"
"93","Nordeste","qua","fed",7768,"2020"
"94","Nordeste","qua","est",8831,"2020"
"95","Nordeste","qua","mun",318,"2020"
"96","Nordeste","qua","pri",643,"2020"
"97","Sudeste","ter","fed",17113,"2020"
"98","Sudeste","ter","est",651045,"2020"
"99","Sudeste","ter","mun",8414,"2020"
"100","Sudeste","ter","pri",138941,"2020"
"101","Sudeste","qua","fed",2326,"2020"
"102","Sudeste","qua","est",8982,"2020"
"103","Sudeste","qua","mun",314,"2020"
"104","Sudeste","qua","pri",984,"2020"
"105","Sul","ter","fed",9288,"2020"
"106","Sul","ter","est",224618,"2020"
"107","Sul","ter","mun",1174,"2020"
"108","Sul","ter","pri",39822,"2020"
"109","Sul","qua","fed",3694,"2020"
"110","Sul","qua","est",11702,"2020"
"111","Sul","qua","mun",176,"2020"
"112","Sul","qua","pri",234,"2020"
"113","Centro-Oeste","ter","fed",6217,"2020"
"114","Centro-Oeste","ter","est",132182,"2020"
"115","Centro-Oeste","ter","mun",205,"2020"
"116","Centro-Oeste","ter","pri",23290,"2020"
"117","Centro-Oeste","qua","fed",261,"2020"
"118","Centro-Oeste","qua","est",376,"2020"
"119","Centro-Oeste","qua","mun",0,"2020"
"120","Centro-Oeste","qua","pri",18,"2020"
"121","Norte","ter","fed",6706,"2021"
"122","Norte","ter","est",221391,"2021"
"123","Norte","ter","mun",18,"2021"
"124","Norte","ter","pri",14982,"2021"
"125","Norte","qua","fed",99,"2021"
"126","Norte","qua","est",1410,"2021"
"127","Norte","qua","mun",0,"2021"
"128","Norte","qua","pri",130,"2021"
"129","Nordeste","ter","fed",19583,"2021"
"130","Nordeste","ter","est",609253,"2021"
"131","Nordeste","ter","mun",1434,"2021"
"132","Nordeste","ter","pri",63713,"2021"
"133","Nordeste","qua","fed",7657,"2021"
"134","Nordeste","qua","est",6624,"2021"
"135","Nordeste","qua","mun",277,"2021"
"136","Nordeste","qua","pri",1065,"2021"
"137","Sudeste","ter","fed",18565,"2021"
"138","Sudeste","ter","est",747616,"2021"
"139","Sudeste","ter","mun",10179,"2021"
"140","Sudeste","ter","pri",146643,"2021"
"141","Sudeste","qua","fed",2683,"2021"
"142","Sudeste","qua","est",2419,"2021"
"143","Sudeste","qua","mun",298,"2021"
"144","Sudeste","qua","pri",692,"2021"
"145","Sul","ter","fed",9764,"2021"
"146","Sul","ter","est",230779,"2021"
"147","Sul","ter","mun",1093,"2021"
"148","Sul","ter","pri",42347,"2021"
"149","Sul","qua","fed",4406,"2021"
"150","Sul","qua","est",12997,"2021"
"151","Sul","qua","mun",235,"2021"
"152","Sul","qua","pri",74,"2021"
"153","Centro-Oeste","ter","fed",6449,"2021"
"154","Centro-Oeste","ter","est",151651,"2021"
"155","Centro-Oeste","ter","mun",253,"2021"
"156","Centro-Oeste","ter","pri",24064,"2021"
"157","Centro-Oeste","qua","fed",423,"2021"
"158","Centro-Oeste","qua","est",491,"2021"
"159","Centro-Oeste","qua","mun",0,"2021"
"160","Centro-Oeste","qua","pri",7,"2021"
